,Mean,Median,Mid Range,IQR,Std Dev,File Name
0,0.46594173,0.4379085,0.533987,0.27973858,0.17698503,../Dataset/TrainData/apple1-000-000.png
1,0.43179786,0.34771243,0.5640523,0.29542485,0.18958507,../Dataset/TrainData/apple1-022-000.png
2,0.45173386,0.3777778,0.5352941,0.28104576,0.16942859,../Dataset/TrainData/apple1-022-090.png
3,0.45085567,0.39607844,0.58431375,0.22352943,0.14610885,../Dataset/TrainData/apple1-022-180.png
4,0.43948767,0.39477125,0.5385621,0.19607839,0.12940189,../Dataset/TrainData/apple1-022-270.png
5,0.46693212,0.35947713,0.551634,0.31633988,0.19138364,../Dataset/TrainData/apple1-035-045.png
6,0.44940937,0.38823533,0.5411765,0.21176472,0.1518224,../Dataset/TrainData/apple1-035-135.png
7,0.47042593,0.4366013,0.5777778,0.1372549,0.121424235,../Dataset/TrainData/apple1-035-225.png
8,0.41834825,0.3503268,0.54183006,0.2143791,0.15889964,../Dataset/TrainData/apple1-035-315.png
9,0.45081332,0.32941177,0.5529412,0.3124183,0.20675571,../Dataset/TrainData/apple1-045-000.png
10,0.48796254,0.41437912,0.5686275,0.27320263,0.16405359,../Dataset/TrainData/apple1-045-090.png
11,0.46328256,0.4130719,0.56993467,0.16993466,0.13990855,../Dataset/TrainData/apple1-045-180.png
12,0.48150855,0.4771242,0.5392157,0.11372548,0.11751706,../Dataset/TrainData/apple1-045-270.png
13,0.46965906,0.36601308,0.49019608,0.41699347,0.22548336,../Dataset/TrainData/apple1-066-027.png
14,0.4876497,0.4300654,0.5006536,0.40392157,0.20588449,../Dataset/TrainData/apple1-066-063.png
15,0.42465746,0.38431373,0.49019608,0.26797387,0.1740883,../Dataset/TrainData/apple1-066-117.png
16,0.4542271,0.41045752,0.50980395,0.17777774,0.15742351,../Dataset/TrainData/apple1-066-153.png
17,0.47341156,0.44575167,0.5137255,0.14901954,0.12921332,../Dataset/TrainData/apple1-066-207.png
18,0.4792983,0.45751634,0.5039216,0.20261437,0.13394344,../Dataset/TrainData/apple1-066-243.png
19,0.43421194,0.40784314,0.4797386,0.18823531,0.15475418,../Dataset/TrainData/apple1-066-297.png
20,0.41540456,0.33071896,0.4895425,0.28366014,0.20086224,../Dataset/TrainData/apple1-066-333.png
21,0.44426244,0.3267974,0.49477124,0.3633987,0.22375207,../Dataset/TrainData/apple1-068-000.png
22,0.4684415,0.4261438,0.4869281,0.35947713,0.19064038,../Dataset/TrainData/apple1-068-090.png
23,0.47082505,0.42352942,0.503268,0.13071892,0.13959366,../Dataset/TrainData/apple1-068-180.png
24,0.47105068,0.46143794,0.5143791,0.2104575,0.13854976,../Dataset/TrainData/apple1-068-270.png
25,0.45471752,0.34901962,0.4882353,0.27320263,0.20350431,../Dataset/TrainData/apple1-090-000.png
26,0.4777249,0.4,0.48627454,0.33464053,0.2060482,../Dataset/TrainData/apple1-090-022.png
27,0.4924556,0.44444445,0.48300654,0.345098,0.20261146,../Dataset/TrainData/apple1-090-045.png
28,0.48732156,0.45490196,0.48496732,0.3267974,0.19306117,../Dataset/TrainData/apple1-090-068.png
29,0.4666149,0.41045752,0.46862745,0.27450982,0.1833336,../Dataset/TrainData/apple1-090-090.png
30,0.44664273,0.3529412,0.4830065,0.21437904,0.17098632,../Dataset/TrainData/apple1-090-112.png
31,0.47510615,0.4130719,0.49934638,0.17385623,0.15837057,../Dataset/TrainData/apple1-090-135.png
32,0.50036603,0.47450984,0.50392157,0.12549019,0.14097957,../Dataset/TrainData/apple1-090-158.png
33,0.50968283,0.5111111,0.49673203,0.107189536,0.13051857,../Dataset/TrainData/apple1-090-180.png
34,0.5101897,0.51633984,0.48954248,0.11503267,0.12834784,../Dataset/TrainData/apple1-090-202.png
35,0.5190048,0.5150327,0.5,0.15424839,0.13621052,../Dataset/TrainData/apple1-090-225.png
36,0.5205111,0.5111111,0.5058824,0.16209152,0.14028056,../Dataset/TrainData/apple1-090-248.png
37,0.50703526,0.48366013,0.5013072,0.18692812,0.14169842,../Dataset/TrainData/apple1-090-270.png
38,0.4839286,0.44183007,0.49607846,0.20000002,0.14903267,../Dataset/TrainData/apple1-090-292.png
39,0.43317842,0.36209154,0.47385624,0.17254904,0.16575858,../Dataset/TrainData/apple1-090-315.png
