,Mean,Median,Mode,MidRange,Range,IQR,StdDev,FileName
0,0.46594173,0.4379085,0.30980393,0.533987,0.80130726,0.27973858,0.17698503,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-000-000.png
1,0.43179786,0.34771243,0.2535948,0.5640523,0.75947714,0.29542485,0.18958507,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-022-000.png
2,0.45173386,0.3777778,0.29934642,0.5352941,0.6810458,0.28104576,0.16942859,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-022-090.png
3,0.45085567,0.39607844,0.35424837,0.58431375,0.68235296,0.22352943,0.14610885,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-022-180.png
4,0.43948767,0.39477125,0.31895426,0.5385621,0.5673202,0.19607839,0.12940189,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-022-270.png
5,0.46693212,0.35947713,0.34379086,0.551634,0.74771243,0.31633988,0.19138364,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-035-045.png
6,0.44940937,0.38823533,0.38431373,0.5411765,0.7607843,0.21176472,0.1518224,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-035-135.png
7,0.47042593,0.4366013,0.44183007,0.5777778,0.6091504,0.1372549,0.121424235,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-035-225.png
8,0.41834825,0.3503268,0.34901962,0.54183006,0.71503264,0.2143791,0.15889964,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-035-315.png
9,0.45081332,0.32941177,0.3124183,0.5529412,0.7869281,0.3124183,0.20675571,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-045-000.png
10,0.48796254,0.41437912,0.4117647,0.5686275,0.69542485,0.27320263,0.16405359,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-045-090.png
11,0.46328256,0.4130719,0.41045752,0.56993467,0.7267974,0.16993466,0.13990855,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-045-180.png
12,0.48150855,0.4771242,0.4888889,0.5392157,0.63398683,0.11372548,0.11751706,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-045-270.png
13,0.46965906,0.36601308,0.26797387,0.49019608,0.90718955,0.41699347,0.22548336,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-066-027.png
14,0.4876497,0.4300654,0.27189544,0.5006536,0.8522876,0.40392157,0.20588449,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-066-063.png
15,0.42465746,0.38431373,0.27058825,0.49019608,0.8653595,0.26797387,0.1740883,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-066-117.png
16,0.4542271,0.41045752,0.3529412,0.50980395,0.89673203,0.17777774,0.15742351,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-066-153.png
17,0.47341156,0.44575167,0.40261438,0.5137255,0.84444445,0.14901954,0.12921332,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-066-207.png
18,0.4792983,0.45751634,0.38431373,0.5039216,0.8196079,0.20261437,0.13394344,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-066-243.png
19,0.43421194,0.40784314,0.3150327,0.4797386,0.82614386,0.18823531,0.15475418,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-066-297.png
20,0.41540456,0.33071896,0.26666668,0.4895425,0.9111112,0.28366014,0.20086224,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-066-333.png
21,0.44426244,0.3267974,0.27189544,0.49477124,0.9137255,0.3633987,0.22375207,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-068-000.png
22,0.4684415,0.4261438,0.27450982,0.4869281,0.84575164,0.35947713,0.19064038,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-068-090.png
23,0.47082505,0.42352942,0.40653595,0.503268,0.8862745,0.13071892,0.13959366,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-068-180.png
24,0.47105068,0.46143794,0.36993465,0.5143791,0.83267975,0.2104575,0.13854976,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-068-270.png
25,0.45471752,0.34901962,0.3267974,0.4882353,0.9398693,0.27320263,0.20350431,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-090-000.png
26,0.4777249,0.4,0.32941177,0.48627454,0.9359478,0.33464053,0.2060482,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-090-022.png
27,0.4924556,0.44444445,0.32941177,0.48300654,0.93202615,0.345098,0.20261146,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-090-045.png
28,0.48732156,0.45490196,0.3281046,0.48496732,0.93333334,0.3267974,0.19306117,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-090-068.png
29,0.4666149,0.41045752,0.32941177,0.46862745,0.89542484,0.27450982,0.1833336,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-090-090.png
30,0.44664273,0.3529412,0.34379086,0.4830065,0.93464047,0.21437904,0.17098632,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-090-112.png
31,0.47510615,0.4130719,0.41045752,0.49934638,0.9437908,0.17385623,0.15837057,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-090-135.png
32,0.50036603,0.47450984,0.4771242,0.50392157,0.9267974,0.12549019,0.14097957,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-090-158.png
33,0.50968283,0.5111111,0.5215686,0.49673203,0.9254902,0.107189536,0.13051857,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-090-180.png
34,0.5101897,0.51633984,0.52679735,0.48954248,0.91895425,0.11503267,0.12834784,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-090-202.png
35,0.5190048,0.5150327,0.52287585,0.5,0.9137255,0.15424839,0.13621052,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-090-225.png
36,0.5205111,0.5111111,0.5176471,0.5058824,0.9124183,0.16209152,0.14028056,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-090-248.png
37,0.50703526,0.48366013,0.48366013,0.5013072,0.924183,0.18692812,0.14169842,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-090-270.png
38,0.4839286,0.44183007,0.44183007,0.49607846,0.9189543,0.20000002,0.14903267,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-090-292.png
39,0.43317842,0.36209154,0.35816994,0.47385624,0.90065366,0.17254904,0.16575858,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-090-315.png
40,0.42815462,0.33333334,0.3267974,0.4738562,0.90849674,0.2013072,0.18614094,D:/Projects/Python/data-mining/Dataset/TrainData\apple1-090-338.png
41,0.42882192,0.39607844,0.2640523,0.5156863,0.79346406,0.2522876,0.15675928,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-000-000.png
42,0.42294243,0.3751634,0.27320263,0.5235294,0.7124183,0.21830067,0.14664887,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-022-000.png
43,0.4366108,0.3673203,0.29411766,0.5143791,0.72287583,0.22222224,0.1663614,D:/Projects/Python/data-mining/Dataset/TrainData\apple2-022-090.png
